Region,Date,All aged 16 & over,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),Unemployment rate (%),Economic inactivity rate (%),All aged 16 to 64,Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Economic inactivity rate (%) (16 to 64),Treated
North East,Dec-Feb 1996,2013255,1183509.724,1052156.96,131352.7644,829745.2759,58.78588277,52.261485,11.09857923,41.21411723,1621788,1172918.341,1041678.715,131239.6259,448869.6592,72.32254406,64.23026407,11.18915284,27.67745594,0
North East,Jan-Mar 1996,2013320,1183169.075,1055455.483,127713.5926,830150.9247,58.76706511,52.42363274,10.7941963,41.23293489,1621671,1173911.995,1046176.216,127735.779,447759.005,72.38903544,64.51223559,10.8812057,27.61096456,0
North East,Feb-Apr 1996,2013241,1181337.369,1055946.655,125390.7138,831903.6311,58.67838818,52.45008696,10.61430182,41.32161182,1621354,1170715.225,1045438.394,125276.8312,450638.7752,72.20602193,64.47934218,10.70087999,27.79397807,0
North East,Mar-May 1996,2013197,1179790.483,1052134.47,127656.013,833406.5169,58.60283336,52.26187353,10.82022739,41.39716664,1621141,1169672.305,1041980.274,127692.0309,451468.6948,72.15117656,64.27450014,10.91690641,27.84882344,0
North East,Apr-Jun 1996,2013106,1177754.846,1055418.974,122335.8722,835351.1541,58.5043632,52.42739199,10.38721026,41.4956368,1620874,1165753.85,1043432.517,122321.3336,455120.1497,71.92131223,64.37468407,10.49289553,28.07868777,0
North East,May-Jul 1996,2013052,1181563.329,1056366.932,125196.397,831488.6709,58.69512209,52.47588895,10.59582622,41.30487791,1620610,1168518.185,1043268.9,125249.2852,452091.8153,72.10360202,64.37507479,10.71864237,27.89639798,0
North East,Jun-Aug 1996,2012773,1179599.24,1055566.136,124033.1042,833173.76,58.60567685,52.44337716,10.51485115,41.39432315,1620245,1168671.966,1044653.428,124018.5378,451573.034,72.12933637,64.47502866,10.61192032,27.87066363,0
North East,Jul-Sep 1996,2012535,1177399.555,1049064.696,128334.8599,835135.4445,58.50330829,52.12653174,10.89985632,41.49669171,1619863,1166131.078,1037453.001,128678.0765,453731.9222,71.98948786,64.04572494,11.03461514,28.01051214,0
North East,Aug-Oct 1996,2012308,1175968.395,1049779.13,126189.2646,836339.6055,58.43878743,52.16791515,10.73066804,41.56121257,1619555,1164317.48,1038308.278,126009.2026,455237.5198,71.89119728,64.11071421,10.82258102,28.10880272,0
North East,Sep-Nov 1996,2011835,1174198.391,1059364.283,114834.1082,837636.6086,58.36454736,52.65661862,9.779787562,41.63545264,1619013,1162909.176,1048479.928,114429.2484,456103.8238,71.8282791,64.7604391,9.83991276,28.1717209,0
North East,Oct-Dec 1996,2011643,1171507.291,1057992.793,113514.4986,840135.7088,58.2363417,52.59346676,9.689610938,41.7636583,1618696,1160658.524,1047540.49,113118.0338,458037.4764,71.70330461,64.71508485,9.746021893,28.29669539,0
North East,Nov-Jan 1997,2011273,1165154.576,1053634.419,111520.157,846118.4239,57.9311996,52.38644476,9.571275718,42.0688004,1618232,1154374.265,1043186.908,111187.3564,463857.7352,71.33552326,64.46460757,9.631829104,28.66447674,0
North East,Dec-Feb 1997,2011068,1174553.148,1061422.211,113130.9372,836514.8518,58.4044472,52.77903139,9.631827846,41.5955528,1617931,1163409.345,1051008.148,112401.1972,454521.655,71.90722874,64.96001052,9.661362761,28.09277126,0
North East,Jan-Mar 1997,2010825,1174950.495,1059983.332,114967.1629,835874.5051,58.43126552,52.71385287,9.784851648,41.56873448,1617594,1165228.921,1050941.284,114287.6373,452365.0788,72.03469605,64.96941036,9.808170332,27.96530395,0
North East,Feb-Apr 1997,2010539,1178428.783,1059618.311,118810.4717,832110.2171,58.61258015,52.70319607,10.08210877,41.38741985,1617161,1167055.296,1048986.968,118068.3279,450105.7039,72.16692068,64.86595757,10.11677239,27.83307932,0
