region,year,total_economically_active,total_in_employment,unemployed,employment_rate,total_economically_active_16_64,total_in_employment_16_64,unemployed_16_64,economically_inactive_16_64,economic_activity_rate_16_64,employment_rate_16_64,unemployment_rate_16_64,treated,RegionID
EastMidlands,2003,2137661.0875,2043780.6990833331,93880.38850083335,60.71701434083334,2097571.638333333,2004740.4156666668,92831.22263999999,612040.6949666667,77.4125777725,73.986854995,4.4252221255,0.0,2
EastMidlands,2004,2160386.44975,2068568.9009999998,91817.54868583333,60.76004905833333,2123691.5591666666,2033073.5515,90618.00756,617137.357575,77.48439514166667,74.1777797875,4.266775550666666,0.0,2
EastMidlands,2005,2208442.2719166665,2111871.49125,96570.78075749999,61.32803082833333,2169368.6075,2073693.7943333334,95674.81313583332,603987.7257416666,78.220489695,74.77088925916667,4.409738280833333,0.0,2
EastMidlands,2006,2272263.8794166665,2153097.2218333334,119166.65766666667,61.841079605000004,2225357.3335,2107546.968083333,117810.3655,580783.6663166666,79.30312109916666,75.10556778583333,5.293071575166667,0.0,2
EastMidlands,2007,2258787.5900000003,2138362.2895833333,120425.30039166666,60.769710087499995,2210917.2971666665,2091707.6123333334,119209.68485,623779.6195416666,77.99536509666667,73.78998974833333,5.3914827025,0.0,2
EastMidlands,2008,2283469.81725,2153144.3504166664,130325.46689166666,60.61070647166667,2233698.7610833333,2104081.581333333,129617.17960833333,620676.2389666667,78.25501275333333,73.71424061666666,5.802101564083333,0.0,2
EastMidlands,2009,2311027.773666667,2146635.071666667,164392.702025,59.92989115583333,2255493.3385833334,2093101.1134166669,162392.22520833332,611235.7448083333,78.6787423775,73.01409040916667,7.199763448083334,0.0,2
EastMidlands,2010,2281755.577416667,2107130.5399166667,174625.0375,58.31248743083333,2216245.0708333333,2044159.05,172086.02090833333,664253.3458666666,76.93978212833333,70.96587597,7.764225691916667,0.0,2
EastMidlands,2011,2322638.293666667,2138185.4006666667,184452.89283333335,58.725351247499994,2248932.4315833333,2067620.3430833332,181312.08843333332,640425.2351,77.83493578416666,71.55979931083333,8.06211200125,0.0,2
EastMidlands,2012,2314434.1138333334,2127491.584166667,186942.5296,58.039648989166665,2245870.3125833333,2060832.53075,185037.78175833332,639854.9374833334,77.8268607,71.41468179333333,8.23893033425,0.0,2
